rows_returned,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
129,180,1651392.4000,0,0.0000,0,0.0000
130,181,1766966.7637,1,2876.5989,0,0.0000
131,438,1185283.3539,0,0.0000,0,0.0000
132,82,3381691.4524,2,56137.7738,0,0.0000
133,310,1320761.2994,14,205225.6821,0,0.0000
134,104,3052286.7785,45,2932538.4631,0,0.0000
135,292,6701726.4027,1,1647.8225,0,0.0000
136,87,5784048.7816,0,0.0000,0,0.0000
137,70,5876027.5946,4,41466.7838,0,0.0000
138,119,1379237.2693,438,1316177.2980,0,0.0000
139,62,4797261.6212,4,45751.2576,0,0.0000
140,80,42619079.7778,1,7817.0000,0,0.0000
141,74,6244254.7867,1,12304.8533,0,0.0000
142,27,300435.5615,290,2204983.9243,0,0.0000
143,49,7635839.4286,0,0.0000,0,0.0000
144,247,8359541.9671,57,291814.2237,0,0.0000
145,53,6879972.4912,4,70093.2105,0,0.0000
146,61,4339193.8033,0,0.0000,0,0.0000
147,55,8651456.4643,1,9196.4286,0,0.0000
148,37,12607881.4324,0,0.0000,0,0.0000
149,55,4307589.0364,0,0.0000,0,0.0000
150,96,3051234.3021,0,0.0000,0,0.0000
151,236,2261440.4492,0,0.0000,0,0.0000
152,182,3275415.1374,0,0.0000,0,0.0000
153,324,1083730.5432,0,0.0000,0,0.0000
154,53,7472144.3962,0,0.0000,0,0.0000
155,79,4497785.4051,0,0.0000,0,0.0000
156,38,4764245.3158,0,0.0000,0,0.0000
157,78,3396697.9359,0,0.0000,0,0.0000
158,33,9880175.5758,0,0.0000,0,0.0000
159,50,6094487.4000,0,0.0000,0,0.0000
160,75,7571074.2400,0,0.0000,0,0.0000
161,32,15842849.6563,0,0.0000,0,0.0000
162,38,19994981.5263,0,0.0000,0,0.0000
163,30,9007870.3000,0,0.0000,0,0.0000
164,65,4033508.8615,0,0.0000,0,0.0000
165,41,408019.6635,892,1562058.5177,0,0.0000
166,84,3846559.9405,0,0.0000,0,0.0000
167,130,2786575.4538,0,0.0000,0,0.0000
168,44,12833797.5556,1,68153.9333,0,0.0000
169,95,3868292.0625,1,15984.1563,0,0.0000
170,73,13606196.8904,0,0.0000,0,0.0000
171,41,9857329.7073,0,0.0000,0,0.0000
172,39,10866418.2821,0,0.0000,0,0.0000
173,22,8471737.7273,0,0.0000,0,0.0000
174,30,12306060.5667,0,0.0000,0,0.0000
175,98,7382758.7449,0,0.0000,0,0.0000
176,34,4436258.6111,2,11051021.3889,0,0.0000
177,28,8108638.3571,0,0.0000,0,0.0000
178,793,7223330.3821,0,0.0000,0,0.0000
179,37,9655237.8649,0,0.0000,0,0.0000
180,32,5988476.5000,0,0.0000,0,0.0000
181,50,6585851.8929,6,3726664.8036,0,0.0000
182,30,7144915.0333,0,0.0000,0,0.0000
183,32,5391054.6563,0,0.0000,0,0.0000
184,73,2754032.1868,18,543269.8022,0,0.0000
185,36,6478577.8611,0,0.0000,0,0.0000
186,252,6790076.0159,0,0.0000,0,0.0000
187,220,5035327.3273,0,0.0000,0,0.0000
188,55,4116974.4545,0,0.0000,0,0.0000
189,28,4061545.5714,0,0.0000,0,0.0000
190,41,15738600.1463,0,0.0000,0,0.0000
191,85,6277268.0233,1,87644.1395,0,0.0000
192,42,4524895.7381,0,0.0000,0,0.0000
193,38,5001384.3947,0,0.0000,0,0.0000
194,67,10806281.1791,0,0.0000,0,0.0000
195,4210,1296669.8466,743,1119400.5811,0,0.0000
196,60151,1792029.7970,407,40665.3665,0,0.0000
197,263,1674790.6704,95,1604856.2682,0,0.0000
198,71,4298732.6267,4,316895.1333,0,0.0000
199,36,9813472.7250,4,352194.0000,0,0.0000
200,103,4495794.3148,5,272332.1852,0,0.0000
201,140,3758832.2153,4,124490.3750,0,0.0000
202,27,16593111.9375,5,1060610.3438,0,0.0000
203,26,13714198.5484,5,604611.8387,0,0.0000
204,834,1892301.6539,706,3570378.1149,0,0.0000
205,1977,1652395.9187,1785,3606752.3578,0,0.0000
206,2453,1357923.6866,2390,3545518.3252,0,0.0000
207,521,2347194.4974,649,3991470.4906,0,0.0000
208,75,10372087.9704,60,3115003.1037,0,0.0000
209,41,14418319.5422,42,3218665.1807,0,0.0000
210,51,18590652.7759,7,552837.6207,0,0.0000
211,39,12016953.1364,5,647124.7727,0,0.0000
212,222,6445803.4156,21,703707.0905,0,0.0000
213,194,7031491.8825,121,2738309.8190,0,0.0000
214,178,10850017.5622,71,2284409.5341,0,0.0000
215,109,7520922.8954,44,2600551.1503,0,0.0000
216,168,14473653.3384,95,2789516.1939,0,0.0000
217,56,4630598.8214,28,2025939.3810,0,0.0000
218,124,6964148.2169,65,2615916.9735,0,0.0000
219,134,5600499.2375,106,4274187.0583,0,0.0000
220,86,2373483.6287,151,4663403.9114,0,0.0000
221,4317,700383.0764,68,164872.3031,0,0.0000
222,74,3371536.4476,136,22898991.9905,0,0.0000
223,217,12200076.8682,94,42681426.4823,0,0.0000
224,219,8988706.1569,310,100182979.8960,0,0.0000
225,48,6478617.0875,32,3912052.7125,0,0.0000
226,1398,1599911.4220,1218,3846340.0149,0,0.0000
227,71,1010042.8343,261,6827995.2711,0,0.0000
228,184,2291000.4487,79,2184759.9544,0,0.0000
229,54,519764.2100,165,4604324.4658,0,0.0000
230,573,1864581.5864,486,3500849.6922,0,0.0000
