rows_range,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
450,1,41802448.0000,0,0.0000,0,0.0000
451,1,32223230.0000,0,0.0000,0,0.0000
452,4,77481107.5000,0,0.0000,0,0.0000
453,4,323117292.0000,0,0.0000,0,0.0000
454,3,24662969.0000,0,0.0000,0,0.0000
457,3,395574895.3333,0,0.0000,0,0.0000
459,6,308899531.1667,0,0.0000,0,0.0000
460,1,23721615.0000,0,0.0000,0,0.0000
461,2,23345182.0000,0,0.0000,0,0.0000
462,7,152346606.8571,0,0.0000,0,0.0000
463,6,351308723.8333,0,0.0000,0,0.0000
464,4,288626445.2500,0,0.0000,0,0.0000
465,3,377897187.0000,0,0.0000,0,0.0000
466,1,225103385.0000,0,0.0000,0,0.0000
467,4,168637070.7500,0,0.0000,0,0.0000
468,4,235543164.0000,0,0.0000,0,0.0000
469,3,268457865.0000,0,0.0000,0,0.0000
470,1,36128229.0000,0,0.0000,0,0.0000
471,2,16881556.5000,0,0.0000,0,0.0000
472,3,26649045.0000,0,0.0000,0,0.0000
473,6,273570494.3333,0,0.0000,0,0.0000
474,5,30823291.4000,0,0.0000,0,0.0000
475,6,154553446.0000,0,0.0000,0,0.0000
476,4,175318568.0000,0,0.0000,0,0.0000
477,5,236462031.4000,0,0.0000,0,0.0000
478,1,32521407.0000,0,0.0000,0,0.0000
479,6,217424453.0000,0,0.0000,0,0.0000
481,10,221636088.6000,0,0.0000,0,0.0000
482,1,34116822.0000,0,0.0000,0,0.0000
483,2,135318698.0000,0,0.0000,0,0.0000
484,6,220197560.6667,0,0.0000,0,0.0000
485,4,376302955.2500,0,0.0000,0,0.0000
486,4,165324609.7500,0,0.0000,0,0.0000
487,3,461295155.6667,0,0.0000,0,0.0000
488,9,227634311.3333,0,0.0000,0,0.0000
489,6,398141258.3333,0,0.0000,0,0.0000
490,1,16173906.0000,0,0.0000,0,0.0000
491,3,650606684.3333,0,0.0000,0,0.0000
492,3,264597170.3333,0,0.0000,0,0.0000
493,1,25999010.0000,0,0.0000,0,0.0000
495,2,22099427.0000,0,0.0000,0,0.0000
496,5,144767155.8000,0,0.0000,0,0.0000
497,1,203391407.0000,0,0.0000,0,0.0000
498,7,219308918.5714,0,0.0000,0,0.0000
501,1,66290470.0000,0,0.0000,0,0.0000
502,2,71355574.0000,0,0.0000,0,0.0000
503,1,42541302.0000,0,0.0000,0,0.0000
504,4,24365494.7500,0,0.0000,0,0.0000
506,1,18676563.0000,0,0.0000,0,0.0000
507,1,130712813.0000,0,0.0000,0,0.0000
508,6,241064297.3333,0,0.0000,0,0.0000
510,3,98823438.0000,0,0.0000,0,0.0000
512,2,30686979.0000,0,0.0000,0,0.0000
513,1,43113333.0000,0,0.0000,0,0.0000
514,2,43382734.0000,0,0.0000,0,0.0000
515,1,17949844.0000,0,0.0000,0,0.0000
516,6,292772803.6667,0,0.0000,0,0.0000
517,1,147524219.0000,0,0.0000,0,0.0000
518,5,293848104.4000,0,0.0000,0,0.0000
519,3,34054166.3333,0,0.0000,0,0.0000
520,1,23506771.0000,0,0.0000,0,0.0000
521,3,23490191.0000,0,0.0000,0,0.0000
522,3,119341163.0000,0,0.0000,0,0.0000
523,2,371074556.5000,0,0.0000,0,0.0000
524,3,35503229.6667,0,0.0000,0,0.0000
526,3,663537239.3333,0,0.0000,0,0.0000
527,4,226257617.2500,0,0.0000,0,0.0000
528,4,193115429.7500,0,0.0000,0,0.0000
529,1,22358074.0000,0,0.0000,0,0.0000
531,3,38595694.0000,0,0.0000,0,0.0000
532,4,257621692.0000,0,0.0000,0,0.0000
536,3,272204826.3333,0,0.0000,0,0.0000
537,5,181994293.4000,0,0.0000,0,0.0000
538,1,130870885.0000,0,0.0000,0,0.0000
539,4,536228958.0000,0,0.0000,0,0.0000
542,1,22325678.0000,0,0.0000,0,0.0000
544,1,35295678.0000,0,0.0000,0,0.0000
545,1,19973594.0000,0,0.0000,0,0.0000
546,4,210050799.2500,0,0.0000,0,0.0000
547,4,226706901.0000,0,0.0000,0,0.0000
548,1,20911573.0000,0,0.0000,0,0.0000
549,10,432464489.5000,0,0.0000,0,0.0000
550,3,24914861.0000,0,0.0000,0,0.0000
551,1,18473906.0000,0,0.0000,0,0.0000
552,2,56456043.0000,0,0.0000,0,0.0000
555,3,335902639.3333,0,0.0000,0,0.0000
556,3,248983090.3333,0,0.0000,0,0.0000
557,6,299927149.0000,0,0.0000,0,0.0000
558,1,53779374.0000,0,0.0000,0,0.0000
560,3,37912309.6667,0,0.0000,0,0.0000
562,3,300372916.6667,0,0.0000,0,0.0000
563,2,24094584.0000,0,0.0000,0,0.0000
564,1,26747969.0000,0,0.0000,0,0.0000
565,7,206365431.7143,0,0.0000,0,0.0000
566,7,269654635.7143,0,0.0000,0,0.0000
568,5,411401916.6000,0,0.0000,0,0.0000
569,1,26859791.0000,0,0.0000,0,0.0000
571,1,159605625.0000,0,0.0000,0,0.0000
573,3,347067152.6667,0,0.0000,0,0.0000
574,2,115019114.5000,0,0.0000,0,0.0000
575,3,309837222.6667,0,0.0000,0,0.0000
578,1,76925209.0000,0,0.0000,0,0.0000
583,1,206737187.0000,0,0.0000,0,0.0000
584,3,249129878.6667,0,0.0000,0,0.0000
585,3,266902117.6667,0,0.0000,0,0.0000
587,1,36116771.0000,0,0.0000,0,0.0000
588,1,25363750.0000,0,0.0000,0,0.0000
589,2,29051510.5000,0,0.0000,0,0.0000
590,1,192332031.0000,0,0.0000,0,0.0000
591,2,462935807.0000,0,0.0000,0,0.0000
593,2,341580416.5000,0,0.0000,0,0.0000
595,4,272526758.0000,0,0.0000,0,0.0000
596,5,434641343.6000,0,0.0000,0,0.0000
